Número_punt_crític,Nom_Districte,Nom_Barri,Nom_Carrer,Número,Latitud,Longitud,Motiu,Nombre_visites_març_2018,Estat_març_2018,Nombre_visites_abril_2018,Estat_abril_2018,Nombre_visites_maig_2018,Estat_maig_2018,Nombre_visites_juny_2018,Estat_juny_2018,Nombre_visites_Juliol_2018,Estat_Juliol_2018,Nombre_visites_Agost_2018,Estat_Agost_2018,Nombre_visites_Setembre_2018,Estat_Setembre_2018,Nombre_visites_Octubre_2018,Estat_Octubre_2018,Nombre_visites_novembre_2018,Estat_novembre_2018,Nombre_visites_desembre_2018,Estat_desembre_2018
69,Sarrià Sant Gervasi,Sant Gervasi - la Bonanova,Carrer de Pujol ,6,41.404566,2.136933,Mala praxi comercial,6,4.33,5,8.4,3,2.33,6,0.83,6,2.5,4,2,2,5.5,2,0,2,0,3,5.33
70,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Parc del Turó Park,,41.394551,2.140714,Propietaris d'animals incívics,5,1,5,0.6,1,En obres,4,0,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
71,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Jardins de les Tres Torres,,41.398665,2.134121,Propietaris d'animals incívics,5,8,5,3.6,3,3.33,5,4.27,4,1.5,4,1,2,6.5,2,0,2,1,3,3
72,Sarrià Sant Gervasi,Sant Gervasi - la Bonanova,Carrer Mandri,32,41.403263,2.134245,Mala praxi comercial,5,9.6,4,4.25,3,11,6,6.39,6,4.5,4,2,2,3.5,2,0,2,13,3,4.67
73,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Passatge de Marimon ,13,41.394672,2.147723,Mal ús de contenidors i/o papereres,5,13.6,5,16,3,15,6,21.83,5,9.2,4,13,8,12.75,12,5.17,10,3.9,8,6.25
74,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Carrer de Sant Elies,9,41.401514,2.145274,Mal ús de contenidors i/o papereres,4,1.75,5,5.6,2,8,6,18.44,6,7.83,4,12.75,2,4.5,2,4.5,2,1.5,3,2.67
75,Sarrià Sant Gervasi,Sarrià,Parc de Joan Reventós,,41.402263,2.116962,Propietaris d'animals incívics,4,10.25,5,8.4,3,3.67,6,5.11,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
76,Sarrià Sant Gervasi,Sarrià,Jardins de la Vil·la Amèlia,,41.392513,2.122708,Propietaris d'animals incívics,4,3.5,5,0.6,3,0,6,0.83,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
77,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Carrer de Túset ,34,41.396667,2.151413,Mala praxi comercial,4,9.5,4,4.5,3,0.67,6,4.72,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
78,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Carrer de Dènia,16,41.398231,2.149171,Mala praxi comercial,4,15.75,5,16.8,3,13.33,6,12.33,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
