Número_punt_crític,Nom_Districte,Nom_Barri,Nom_Carrer,Número,Latitud,Longitud,Motiu,Nombre_visites_març_2018,Estat_març_2018,Nombre_visites_abril_2018,Estat_abril_2018,Nombre_visites_maig_2018,Estat_maig_2018,Nombre_visites_juny_2018,Estat_juny_2018,Nombre_visites_Juliol_2018,Estat_Juliol_2018,Nombre_visites_Agost_2018,Estat_Agost_2018,Nombre_visites_Setembre_2018,Estat_Setembre_2018,Nombre_visites_Octubre_2018,Estat_Octubre_2018,Nombre_visites_novembre_2018,Estat_novembre_2018,Nombre_visites_desembre_2018,Estat_desembre_2018
141,Sant Andreu,la Trinitat Vella,Carrer d'Aúsona,92,41.452998,2.190434,"Efecte ""crida""",5,12.6,4,19.5,6,23,6,15.67,6,40,3,8,2,13,2,7.5,2,5,3,7.67
142,Sant Andreu,la Trinitat Vella,Carrer Mare de Déu de Lorda,23,41.451433,2.1920529,Mal ús de contenidors i/o papereres,5,12.3,4,19.5,6,7.67,6,15.83,5,8,3,14.67,2,3.5,2,10,2,2,3,7.33
143,Sant Andreu,la Trinitat Vella,Carrer de la Foradada,65,41.452975,2.193025,Mal ús de contenidors i/o papereres,4,3.5,4,11.5,6,9.67,6,10.33,4,8.25,3,6.67,2,2,1,8,1,0,3,2.67
144,Sant Andreu,la Trinitat Vella,Carrer del Turó de la Trinitat,71,41.451583,2.190843,Mal ús de contenidors i/o papereres,5,2.6,4,5.25,6,7.33,6,8.33,5,7.6,3,4.33,2,1,2,4,2,1,3,3.67
145,Sant Martí,el Camp de l'Arpa del Clot,Carrer de Finestrat,23,41.41185,2.180967,Mala praxi comercial,4,3.75,3,8,5,8.2,5,6.6,7,6.14,3,1.33,2,9,2,7,2,5,3,5
146,Sant Martí,el Camp de l'Arpa del Clot,Carrer Trinxant,81,41.41535,2.184448,Mal ús de contenidors i/o papereres,4,7.25,4,4.5,5,1.8,5,19.4,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
147,Sant Martí,el Clot,Carrer del Clot,42,41.407067,2.187981,Mala praxi comercial,5,2,4,3.25,5,6.2,5,3,7,3.29,4,3.5,2,1.5,2,6,2,0,3,6.67
148,Sant Martí,el Clot,Parc del Clot,1,41.408006,2.190281,Alt ús de l’espai públic,5,1.2,4,3.25,5,4.6,5,3.6,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
149,Sant Martí,el Poblenou,Carrer Pujades,155,41.400688,2.199166,Alt ús de l’espai públic,5,8.4,4,10.38,5,3.8,5,3.8,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
150,Sant Martí,el Poblenou,Carrer Lope de Vega,8,41.401444,2.207748,Mal ús de contenidors i/o papereres,4,8.5,4,3.5,5,6.8,5,7.6,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
151,Sant Martí,el Poblenou,Carrer de Llull,202,41.401349,2.20281,Mala praxi comercial,5,10,4,3.75,5,12.2,5,17.8,7,13.86,3,7.33,9,8.89,10,5.8,9,18.56,8,10.5
152,Sant Martí,el Poblenou,Plaça de Sant Bernat Calbó,1,41.399717,2.204827,Mala praxi comercial,5,8.8,4,11.75,5,4.4,5,13.2,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
153,Sant Martí,el Besòs i el Maresme,Carrer de Cristòfol de Moura,229,41.416444,2.213394,Mala praxi comercial,4,5.5,4,6,5,4,4,5,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
154,Sant Martí,el Besòs i el Maresme,Carrer d'Alfons el Magnànim,2,41.4136285,2.2184535,Mal ús de la recollida pneumàtica,5,230,4,4,5,3.2,4,5.75,4,6.5,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
155,Sant Martí,el Besòs i el Maresme,Carrer de Pere Moragues,13,41.417199,2.215648,Alt ús de l’espai públic,5,12.6,4,16.25,5,3.6,4,13,7,10.29,3,14.67,2,2.5,2,6,2,13.5,3,8
156,Sant Martí,el Besòs i el Maresme,Rambla Prim,19,41.411663,2.218331,Mala praxi comercial,5,8,4,4.75,5,5,4,7,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
157,Sant Martí,la Verneda i la Pau,Rambla de Guipúscoa,131,41.421885,2.203884,Mala praxi comercial,5,3.4,4,8,5,3.2,3,15.33,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
158,Sant Martí,la Verneda i la Pau,Carrer Puigcerdà,283,41.421636,2.2011,Alt ús de l’espai públic,5,4.6,3,3.67,5,1.2,4,4.5,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
159,Sant Martí,Sant Martí de Provençals,Gran Via de les Corts Catalanes,1025,41.413977,2.200135,Mala praxi comercial,5,7,4,7.5,5,11.4,4,4.75,6,6.83,3,2,10,1.6,9,1.56,10,4.1,8,4.25
160,Sant Martí,Sant Martí de Provençals,Carrer Agricultura,301,41.420041,2.198511,Alt ús de l’espai públic,5,3.4,4,4.5,5,6.8,4,9.25,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
161,Ciutat Vella,el Raval,Carrer Carretes,47,41.377152,2.1678017,"Efecte ""crida""",No visitat,No visitat,4,15.5,6,22.33,6,19.33,6,28.17,5,8.2,2,15,2,6.5,3,7.33,2,1.5
162,Ciutat Vella,el Raval,Carrer de Sant Antoni Abat,13,41.3794732,2.1655686,Mala praxi comercial,No visitat,No visitat,5,5.6,6,8.67,5,11.1,6,6,5,3.6,2,2,2,0,2,2,3,5.33
163,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Carrer de Sant Pere Mitjà,33,41.387862,2.177345,Mal ús de la recollida pneumàtica,No visitat,No visitat,5,2.4,6,2.5,6,1.17,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
164,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Carrer de Sant Pere Mitjà,18,41.387626,2.17717,Mal ús de la recollida pneumàtica,No visitat,No visitat,5,9.9,6,8.5,6,5,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
165,Ciutat Vella,el Barri Gòtic,Placeta de la Rosa,,41.380272,2.178016,Propietaris d'animals incívics,No visitat,No visitat,5,4.2,6,8.33,6,4.33,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
166,Horta Guinardó,el Guinardó,Passatge dels Garrofers,26,41.418703,2.172691,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,8,0,10,1.07,6,5.33,3,0.33,2,0,2,3,2,4,1,0
167,Horta Guinardó,el Guinardó,Avinguda Mare de Déu de Montserrat ,288,41.424676,2.176478,"Efecte ""crida""",No visitat,No visitat,No visitat,No visitat,9,2.11,9,2.86,6,7.17,3,2.67,9,3.44,11,1.91,11,1.27,9,4
168,Horta Guinardó,el Guinardó,Carrer de Maspons i Labrós,5,41.418212,2.174132,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,9,0.89,9,3.78,6,7,3,4,2,4,3,6.33,2,6.5,1,9
169,Horta Guinardó,el Carmel,"José Milán Gonzalez-->Passatge d'En Xinxó, 2",,41.4263773,2.1545413,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,9,3.22,10,4.8,6,2.17,3,10.33,8,7,10,5.5,10,6.4,8,6.25
170,Nou Barris,la Prosperitat,Carrer del Pou ,29,41.443965,2.18131,Mal ús de contenidors i/o papereres,No visitat,No visitat,3,2.33,5,3.8,6,2.67,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
171,Nou Barris,la Prosperitat,Plaça Verda,,41.442554,2.183756,Propietaris d'animals incívics,No visitat,No visitat,3,3,4,4.5,6,6.33,6,1.33,4,2.5,2,0,2,10,2,3,3,1.67
172,Nou Barris,la Prosperitat,Carrer Pablo Iglesias ,33,41.443723,2.18157,Mal ús de contenidors i/o papereres,No visitat,No visitat,3,16.33,5,5.6,6,8.67,Eliminat,Eliminat,Eliminat,Eliminat,1,10,Eliminat,Eliminat,1,3,Eliminat,Eliminat
173,Nou Barris,la Prosperitat,Plaça de la Prosperitat,,41.439806,2.178522,Propietaris d'animals incívics,No visitat,No visitat,3,5,6,1.17,6,1.5,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
174,Nou Barris,la Prosperitat,Plaça Àngel Pestanya,,41.442017,2.180294,Alt ús de l’espai públic,No visitat,No visitat,3,5,6,10.33,6,8.17,Eliminat,Eliminat,Eliminat,Eliminat,1,6,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
175,Nou Barris,les Roquetes,Plaça de les Dones de Nou Barris,,41.447443,2.179411,Propietaris d'animals incívics,No visitat,No visitat,4,2.75,6,2.17,6,3.67,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
176,Nou Barris,les Roquetes,Carrer de les Torres ,40,41.446995,2.176556,Mal ús de contenidors i/o papereres,No visitat,No visitat,4,7.25,6,5.33,6,16.67,6,16.5,4,5.5,2,2,1,4,2,7.5,3,4.67
177,Nou Barris,les Roquetes,Carrer Romaní ,17,41.44673,2.175394,Mal ús de contenidors i/o papereres,No visitat,No visitat,4,11.5,6,4.17,6,14.67,6,14.17,4,14,2,3.5,1,4,2,12.5,3,9
178,Nou Barris,Verdun,Carrer Batllori,7,41.443325,2.177859,Mal ús de contenidors i/o papereres,No visitat,No visitat,4,5.5,6,2.33,6,10.67,6,5.5,4,2.25,3,0.67,4,6,2,0.5,3,0
179,Nou Barris,Verdun,Plaça de Jesús Carrasco ,,41.445046,2.176726,Poca afluència de gent,No visitat,No visitat,4,2,6,6,6,2.83,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
180,Nou Barris,Verdun,Carrer Robert,6,41.443708,2.175892,Poca afluència de gent,No visitat,No visitat,4,1,6,3.17,6,2.83,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
181,Nou Barris,Verdun,Carrer Viladrosa,109,41.443962,2.17705,Mal ús de contenidors i/o papereres,No visitat,No visitat,4,0.5,6,2.17,6,2.33,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
182,Ciutat Vella,la Barceloneta,Carrer Atlàntida ,35,41.380416,2.189724,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,3.57,4,0.5,7,5.86,8,7,10,4,6,8.83
183,Ciutat Vella,la Barceloneta,Carrer Pepe Rubianes ,37,41.378906,2.191704,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,3.83,5,4.6,3,2,2,3,3,0.33,3,0.67
184,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Carrer de Sant Pere Mitjà ,2,41.386917,2.176314,Mal ús del la recollida manual,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,7.67,5,8.4,2,2,2,8.5,3,19.33,3,4.33
185,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Carrer Comerç ,38,41.386695,2.182004,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,25.33,5,8.2,8,7.63,10,6.4,10,9.6,7,4.43
186,Ciutat Vella,el Barri Gòtic,Plaça del Duc de Medinaceli ,1,41.37853,2.17844,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,13.5,5,13,2,9.5,2,6.5,2,2,2,8
187,Ciutat Vella,el Barri Gòtic,Carrer Còdols ,22,41.379354,2.178587,Mal ús del la recollida manual,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,3.33,4,13,2,8.5,2,0,2,0,3,0
188,Ciutat Vella,el Barri Gòtic,Carrer d'Obradors ,8,41.379632,2.177233,Mal ús del la recollida manual,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,17.33,4,8.5,2,0,2,9,2,10.5,3,4
189,Ciutat Vella,el Raval,Carrer Nou de la Rambla ,9,41.37865,2.17401,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,6.33,5,2.6,8,16.25,10,2.9,11,4,7,3.57
190,Eixample,la Nova Esquerra de l'Eixample,Jardins de Sebastià Gasch,,41.378801,2.152859,Propietaris d'animals incívics,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,4.71,5,2.4,2,4,2,4,2,1,3,3
191,Eixample,Sant Antoni,Plaça Goya,,41.38381,2.16354,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,5.43,5,3.4,9,5.89,9,2.33,9,4.22,8,2.88
192,Eixample,la Nova Esquerra de l'Eixample,Carrer Consell de Cent ,81,41.379316,2.149884,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,18.67,5,7.8,9,6.33,10,5.4,9,8,8,6.75
193,Eixample,l'Antiga Esquerra de l'Eixample,Carrer Diputació ,225,41.387275,2.162346,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,4.6,6,2,9,10.67,12,8.92,10,8.6,8,9.25
194,Eixample,la Dreta de l'Eixample,Carrer Pau Claris ,98,41.390938,2.16974,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,1.33,5,2.6,9,10.22,9,4.44,9,2.11,8,5.75
195,Eixample,la Dreta de l'Eixample,Carrer València ,336,41.39645,2.168493,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,2,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
196,Eixample,l'Antiga Esquerra de l'Eixample,Carrer Villarroel ,58,41.383383,2.159448,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,14.4,5,7.6,9,14.67,10,14,9,8.56,8,8.88
197,Eixample,la Dreta de l'Eixample,Carrer Bailèn ,5,41.391444,2.177421,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,3.33,5,2.6,9,6.89,12,2.67,8,3.13,8,2.63
198,Eixample,la Dreta de l'Eixample,Plaça Tetuan,,41.395193,2.175155,Propietaris d'animals incívics,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,2.67,5,3.2,2,3,2,2,2,2,3,2.33
199,Eixample,la Sagrada Família,Carrer Mallorca ,422,41.403638,2.175885,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,4,3.5,4,0.75,2,2,2,0,2,0,3,0.67
200,Eixample,la Sagrada Família,Plaça Pablo Neruda,,41.401769,2.178646,Propietaris d'animals incívics,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,7.17,5,2.4,2,5,2,2.5,2,2,3,3.33
201,Eixample,la Sagrada Família,Carrer Sicília ,278,41.401214,2.174211,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,1.83,4,2,2,7,1,3,2,2,3,2
202,Sants,Hostafrancs,Carrer de la Noguera Ribagorçana,,41.372807,2.141536,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,6.5,3,1.33,7,2.29,10,3.7,11,4,8,2.13
203,Sants,Sants,Carrer de Joan Güell ,17,41.376346,2.134154,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,1.33,3,1,2,1,2,0,2,0.5,3,1.67
204,Sants,Sants,Passeig de Sant Antoni ,13,41.376952,2.136766,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,4,0,2,0,1,2,1,0,2,0,3,0
205,Sants,Sants,Carrer de Riego ,2,41.375532,2.138419,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,2,3,0,2,0.5,2,0,2,3,3,2.33
206,Sants,el Poble Sec,Carrer de l'Olivera ,2,41.3733465,2.1599141,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,20,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
207,Sants,la Marina de Port,Parc de Can Sabaté,,41.362923,2.13858,Propietaris d'animals incívics,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,4.33,3,3,2,2,2,0.5,2,1,3,1
208,Sants,la Font de la Guatlla,Parc de la Font Florida,,41.3666649,2.1409434,Propietaris d'animals incívics,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,3.5,4,3,2,10,2,1,2,1,3,2.33
209,Sants,la Marina de Port,Carrer de la Mare de Déu de Port ,250,41.3609358,2.1400938,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,15.5,3,4.67,2,3,2,4,2,4,3,4.67
210,Les Corts,les Corts,Plaça Comas ,11,41.38545,2.13044,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,0.8,2,10,2,1,2,1.5,2,0,3,2.33
211,Les Corts,les Corts,Jardins de Joan Altisent,,41.387671,2.141879,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,4,2,1,8,1.88,11,3.55,10,1.8,7,1.86
212,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Travessera de Gràcia ,38,41.395325,2.148515,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,12.33,4,7.5,9,6,11,2.36,9,3.33,7,3.86
213,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Carrer de Regàs ,22,41.399152,2.1514,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,9.83,4,2,2,16,2,3,2,0,2,0
214,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Carrer Calaf ,22,41.397078,2.143543,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,1.2,4,3.5,2,0,2,0,1,2,2,4
216,Sarrià Sant Gervasi,Sant Gervasi - Galvany,Parc de Monterols,,41.402179,2.140703,Propietaris d'animals incívics,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,3.33,4,3.5,1,12,2,1,2,1.5,3,2.67
217,Sarrià Sant Gervasi,el Putxet i el Farró,Ronda General Mitre ,197,41.405168,2.142018,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,1.67,4,7,2,0.5,2,2.5,1,4,3,11.33
218,Sarrià Sant Gervasi,Sant Gervasi - la Bonanova,Jardins de Ca n'Altamira,,41.404122,2.132212,Propietaris d'animals incívics,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,2.33,4,2.75,2,7,2,16,2,3.5,3,2
219,Gràcia,la Vila de Gràcia,Carrer Riera de Sant Miquel ,53,41.398429,2.155277,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,7.2,5,1.6,2,0,2,1,2,0,3,4
220,Gràcia,la Vila de Gràcia,Carrer Torrent de l'Olla ,102,41.401435,2.158382,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,2.83,3,0,2,13,3,2.67,2,0,3,2.33
221,Gràcia,el Camp d'en Grassot i Gràcia Nova,Carrer del Secretari Coloma ,79,41.409909,2.162368,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,4.5,4,4,2,0.5,2,1,2,4,3,1.33
222,Gràcia,el Camp d'en Grassot i Gràcia Nova,Carrer Camèlies ,2,41.410628,2.158497,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,4.33,6,4,2,7,2,0,1,0,3,4
223,Gràcia,el Camp d'en Grassot i Gràcia Nova,Carrer Providència ,166,41.4102603,2.1632556,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,2.67,4,1.5,2,0.5,2,3.5,2,2,3,6.33
224,Gràcia,el Baix Guinardó,Carrer de Pi i Margall ,101,41.411542,2.164327,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,2,4,6.25,2,2,1,0,2,17,3,2.67
226,Horta Guinardó,el Carmel,Carrer del Pantà de Tremp ,34,41.425625,2.154288,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,13.33,3,9.33,8,8.5,10,6.1,10,4.8,8,8.25
229,Horta Guinardó,el Carmel,Carrer del Llobregós ,161,41.423655,2.15514,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,3,3,1.33,8,4.25,10,2.8,11,7.55,9,3.33
230,Nou Barris,les Roquetes,Parc del Pla de Fornells,,41.448503,2.176362,Propietaris d'animals incívics,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,2.2,2,0,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat,Eliminat
231,Nou Barris,Verdun,Carrer de Viladrosa ,114,41.44412,2.177354,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,6,3,4.33,2,5,1,0,2,2,3,9
233,Nou Barris,Verdun,Plaça del Verdun,,41.443525,2.176018,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,5.33,4,7,2,1.5,1,3,2,1,3,4.33
234,Nou Barris,Verdun,Carrer de Casals i Cuberó ,266,41.44262,2.177036,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,7.67,4,2.75,8,1.38,7,3.57,11,1.55,6,1
235,Nou Barris,la Prosperitat,Carrer de Pablo Iglesias ,63,41.444407,2.182122,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,14.5,5,13,7,13.14,11,8.82,10,12.9,6,22.67
236,Nou Barris,la Prosperitat,Carrer Vinyar ,22,41.441427,2.182543,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,4.17,4,12,2,6.5,2,3,2,1,3,10
237,Nou Barris,la Prosperitat,Via Júlia ,6,41.439165,2.175542,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,6.67,4,20.25,9,1.78,11,2.64,10,2.9,6,2.5
238,Nou Barris,la Prosperitat,Carrer de Borràs ,18,41.440153,2.178166,Mal ús de contenidors i/o papereres,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,6.83,4,11,2,5,2,5.5,1,2,3,8
239,Sant Andreu,Navas,Carrer Josep Estivill ,33,41.418567,2.18851,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,8.4,4,7.25,2,5,2,4,2,5,3,6.33
240,Sant Andreu,la Sagrera,Carrer de les Antilles ,13,41.425549,2.188745,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,4,9.25,4,3.75,7,6.43,11,6.82,10,3.2,7,2.71
241,Sant Andreu,la Sagrera,Carrer de Pegàs ,8,41.426262,2.187189,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,4.17,4,2.25,8,3.63,10,4.6,10,1.7,7,3.57
242,Sant Andreu,la Sagrera,Carrer de Torroella de Montgrí ,19,41.42806,2.186235,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,7,10,4,5,8,1.88,11,2.73,10,2.9,7,6.57
243,Sant Andreu,Sant Andreu,Avinguda Meridiana ,408,41.431585,2.183588,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,13.4,4,2.5,7,8.14,12,3.08,10,2.4,7,3.57
244,Sant Andreu,Sant Andreu,Carrer Neopàtria ,51,41.431768,2.188804,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,8,4,7.75,6,9.5,11,8.55,10,5.3,7,14
245,Sant Andreu,Sant Andreu,Carrer de Pons i Gallarza ,59,41.435394,2.186803,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,5,6.2,4,15,2,1,2,6,2,3,3,2
246,Sant Andreu,Sant Andreu,Carrer Irlanda ,2,41.430413,2.186136,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,8.5,4,8.5,8,7.13,11,5.45,10,8,7,4.29
247,Sant Andreu,el Bon Pastor,Carrer Estadella ,66,41.435152,2.20474,Mala praxi comercial,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,1.67,4,4,2,3,1,6,2,0,3,0.67
248,Sant Andreu,el Bon Pastor,Carrer d'Alfarràs ,18,41.43724,2.205227,Mal ús de la recollida pneumàtica,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,No visitat,6,0.33,3,3.33,2,3,2,3,2,0,3,2
